Unnamed: 0,name,genre,emotions
124,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","['Fantasy', 'Young Adult', 'Childrens', 'Fiction']",['Frustration']
125,"If Not, Winter: Fragments of Sappho",['Poetry'],['Frustration']
127,Tom Lake,"['Contemporary', 'Romance', 'Historical Fiction']","['Frustration', 'Sad', 'Neutral']"
129,The Woman in Cabin 10,"['Suspense', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
130,IRL,['Science Fiction'],"['Happy', 'Neutral']"
131,Fate of a Royal (Lords of Rathe #1),"['Fantasy', 'Mystery', 'Contemporary', 'Romance', 'Fiction']","['Frustration', 'Sad', 'Neutral']"
134,Every Rising Sun,"['Fantasy', 'Fiction', 'Historical Fiction']",['Frustration']
135,One Italian Summer,"['Contemporary', 'Travel']",['Frustration']
137,Night Fever,"['Crime', 'Graphic Novels', 'Comics']","['Sad', 'Neutral']"
140,"Love, Pamela","['Poetry', 'Memoir']",['Frustration']
141,Wrong Place Wrong Time,['Thriller'],"['Happy', 'Neutral']"
143,"Float Plan (Beck Sisters, #1)",['Travel'],['Frustration']
145,"Dark Water Daughter (The Winter Sea, #1)","['Fantasy', 'Romance', 'Fiction']","['Frustration', 'Sad', 'Neutral']"
150,The Art of Travel,['Travel'],['Frustration']
152,"Idol, Burning",['Music'],['Frustration']
154,"Twilight (The Twilight Saga, #1)","['Fantasy', 'Paranormal', 'Romance', 'Young Adult']","['Frustration', 'Sad', 'Neutral']"
155,It,['Horror'],['Neutral']
157,Alone,['Poetry'],['Frustration']
163,"Preacher, Volume 1: Gone to Texas",['Comics'],"['Sad', 'Neutral']"
164,The Island Villa,['Travel'],['Frustration']
169,"Get a Life, Chloe Brown (The Brown Sisters, #1)",['Romance'],"['Frustration', 'Sad', 'Neutral']"
171,Where Ivy Dares to Grow,"['Fantasy', 'Romance', 'Historical Fiction']","['Frustration', 'Sad', 'Neutral']"
172,A House with Good Bones,"['Fantasy', 'Paranormal']",['Frustration']
175,"The Cottage Fairy Companion: ﻿A Cottagecore Guide to Slow Living, Connecting to Nature, and Becoming Enchanted Again",['Poetry'],['Frustration']
176,The King of the Spoil,['Science Fiction'],"['Happy', 'Neutral']"
185,The House by the Sea,['Historical Fiction'],['Frustration']
186,Flags on the Bayou,"['Fiction', 'History', 'Mystery', 'Historical Fiction']",['Frustration']
189,Song of My Softening,['Poetry'],['Frustration']
191,Let the Right One In,['Horror'],['Neutral']
193,Later,"['Paranormal', 'Horror']",['Neutral']
196,Apples Never Fall,"['Fiction', 'Contemporary', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
198,The Midnight Library,"['Fantasy', 'Science Fiction', 'Contemporary', 'Fiction']","['Frustration', 'Happy', 'Neutral']"
203,"The Hobbit (The Lord of the Rings, #0)","['Fantasy', 'Classics', 'Fiction']",['Frustration']
208,Something Wicked This Way Comes,['Horror'],['Neutral']
211,The Keeper of Stories,"['Contemporary', 'Romance', 'Mystery', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
212,We Are All So Good at Smiling,['Poetry'],['Frustration']
213,"Look for Me There: Grieving My Father, Finding Myself","['Memoir', 'Nonfiction', 'Travel', 'Biography']",['Frustration']
220,"The Selection (The Selection, #1)","['Romance', 'Young Adult']","['Frustration', 'Sad', 'Neutral']"
221,Digital Fortress,"['Suspense', 'Thriller']","['Happy', 'Neutral']"
225,The Shadow Sister,"['Horror', 'Young Adult']",['Neutral']
227,Alchemy of a Blackbird,"['Historical Fiction', 'Art']",['Frustration']
229,"My Happy Marriage, Vol. 1 (My Happy Marriage Light Novel, #1)","['Fantasy', 'Manga']",['Frustration']
233,All That’s Left to Say,"['Suspense', 'Thriller', 'Young Adult']","['Happy', 'Neutral']"
236,Chronicles: Volume One,['Music'],['Frustration']
239,The Waste Land,['Poetry'],['Frustration']
240,The Fault in Our Stars,"['Fiction', 'Contemporary', 'Romance', 'Young Adult']","['Frustration', 'Sad', 'Neutral']"
245,The Memory of Animals,['Science Fiction'],"['Happy', 'Neutral']"
246,Yumi y el pintor de pesadillas,"['Fantasy', 'Science Fiction', 'Romance', 'Fiction']","['Frustration', 'Happy', 'Sad', 'Neutral']"
250,"Second Foundation (Foundation, #3)","['Classics', 'Science Fiction']","['Happy', 'Neutral']"
251,Small Mercies,"['Suspense', 'Crime', 'Thriller', 'Historical Fiction']","['Frustration', 'Happy', 'Neutral']"
255,The Endless Vessel,"['Fantasy', 'Science Fiction']","['Frustration', 'Happy', 'Neutral']"
258,"A Good Girl&#39;s Guide to Murder (A Good Girl&#39;s Guide to Murder, #1)",['Thriller'],"['Happy', 'Neutral']"
261,Under the Tuscan Sun: At Home in Italy,['Travel'],['Frustration']
263,Stranger in a Strange Land,['Science Fiction'],"['Happy', 'Neutral']"
264,The Sandman Vol. 4: Season of Mists,"['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
268,I Do Everything I&#39;m Told,['Poetry'],['Frustration']
271,Don&#39;t Let Her Stay,"['Fiction', 'Suspense', 'Horror', 'Thriller']","['Happy', 'Neutral']"
275,Batman: Hush,['Comics'],"['Sad', 'Neutral']"
277,Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,['Travel'],['Frustration']
280,Light from Uncommon Stars,"['Music', 'LGBT']",['Frustration']
282,The London Girls,['Historical Fiction'],['Frustration']
285,"The Honeymoon Crashers (Unhoneymooners, #1.5)","['Fiction', 'Humor', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
287,Cell,['Horror'],['Neutral']
288,"Horror Library, Volume 8",['Horror'],['Neutral']
296,The Rest Is Noise: Listening to the Twentieth Century,['Music'],['Frustration']
297,In the Wild Light,['Poetry'],['Frustration']
299,Only Good Enemies (Galactic Bonds #2),"['Fantasy', 'Science Fiction']","['Frustration', 'Happy', 'Neutral']"
302,Everything I Know About Love,"['Memoir', 'Romance']","['Frustration', 'Sad', 'Neutral']"
305,"Paper Girls, Volume 4",['Comics'],"['Sad', 'Neutral']"
308,"The Handmaid’s Tale (The Handmaid's Tale, #1)","['Fiction', 'Science Fiction']","['Happy', 'Neutral']"
314,None of This Rocks: A Memoir,['Music'],['Frustration']
320,Love Radio,['Music'],['Frustration']
322,The Better Half,"['Chick Lit', 'Contemporary', 'Romance', 'Fiction', 'Humor']","['Frustration', 'Sad', 'Neutral']"
323,"The Dragon Republic (The Poppy War, #2)","['Fantasy', 'Historical Fiction']",['Frustration']
325,Old Enough,"['Romance', 'LGBT']","['Frustration', 'Sad', 'Neutral']"
332,Remarkably Ruby,['Poetry'],['Frustration']
333,Paradise Lost,"['Poetry', 'Religion']",['Frustration']
334,Let Me In,"['Horror', 'Mystery']",['Neutral']
336,Gallant,"['Fantasy', 'Paranormal', 'Young Adult']",['Frustration']
339,Banyan Moon,"['Fiction', 'Historical Fiction']",['Frustration']
340,"The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)","['Fantasy', 'Science Fiction', 'Humor']","['Frustration', 'Happy', 'Neutral']"
343,"A Game of Lies (DC Morgan, #2)","['Fiction', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
345,地獄楽 7 [Jigokuraku 7],['Comics'],"['Sad', 'Neutral']"
347,"Good Night, Irene","['History', 'Historical Fiction']",['Frustration']
348,Ghostly Game (GhostWalkers #19),['Science Fiction'],"['Happy', 'Neutral']"
352,"Red Rain (Nameless: Season One, #4)",['Horror'],['Neutral']
355,Dyscalculia: A Love Story of Epic Miscalculation,['Poetry'],['Frustration']
357,Wanderlust,"['Contemporary', 'Romance', 'LGBT', 'Travel']","['Frustration', 'Sad', 'Neutral']"
362,Poems for the Signs,['Poetry'],['Frustration']
363,"Surge (The Taking, #0.5)","['Science Fiction', 'Young Adult']","['Happy', 'Neutral']"
365,"A Time of Gifts (Trilogy, #1)",['Travel'],['Frustration']
368,Three Things I Know Are True,['Poetry'],['Frustration']
369,Love and Other Words,['Romance'],"['Frustration', 'Sad', 'Neutral']"
370,怪獣8号 3 [Kaijū 8-gō 3],"['Manga', 'Graphic Novels', 'Comics']","['Sad', 'Neutral']"
371,Write My Name Across the Sky,"['Music', 'Art']",['Frustration']
372,Life,['Music'],['Frustration']
373,Circe,"['Fantasy', 'Historical Fiction']",['Frustration']
375,Never Lie,"['Thriller', 'Horror']","['Happy', 'Neutral']"
379,The People We Keep,['Music'],['Frustration']
384,"Anna and the French Kiss (Anna and the French Kiss, #1)","['Contemporary', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
387,In Patagonia,['Travel'],['Frustration']
391,Ripe,"['Fantasy', 'Science Fiction', 'Contemporary', 'Fiction']","['Frustration', 'Happy', 'Neutral']"
393,Return to Valetto,['Historical Fiction'],['Frustration']
395,Born to Run,['Music'],['Frustration']
402,Diary of an Awesome Friendly Kid: Rowley Jefferson&#39;s Journal,['Comics'],"['Sad', 'Neutral']"
406,Flight &amp; Anchor,['Science Fiction'],"['Happy', 'Neutral']"
408,A Court of Thorns and Roses eBook Bundle: A 5 Book Bundle,"['Fantasy', 'Young Adult']",['Frustration']
414,One Day With You,"['Fiction', 'Contemporary', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
417,Boys Weekend,"['Graphic Novels', 'Horror', 'LGBT', 'Comics']","['Sad', 'Neutral']"
422,"The Shadow Cabinet (Her Majesty&#39;s Royal Coven, #2)","['Fantasy', 'LGBT']",['Frustration']
425,"Restore Me (Shatter Me, #4)",['Romance'],"['Frustration', 'Sad', 'Neutral']"
427,The Spectacular,"['Fiction', 'Historical Fiction']",['Frustration']
431,Rita and the Raider (Alien Abduction #18),['Science Fiction'],"['Happy', 'Neutral']"
433,Wham! George &amp; Me,['Music'],['Frustration']
435,"Something is Killing the Children, Vol. 6","['Graphic Novels', 'Horror', 'Comics']","['Sad', 'Neutral']"
437,Loot,"['Travel', 'Historical Fiction', 'Art']",['Frustration']
438,French Braid,['Historical Fiction'],['Frustration']
449,Carrie Soto Is Back,"['Sports', 'Romance']","['Frustration', 'Sad', 'Neutral']"
450,All the Dangerous Things,['Thriller'],"['Happy', 'Neutral']"
454,"The Primal Hunter 5 (The Primal Hunter, #5)",['Science Fiction'],"['Happy', 'Neutral']"
458,Fear the Silence,"['Crime', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
459,Lowdown Road,"['Crime', 'Thriller']","['Happy', 'Neutral']"
461,Sex and Vanity,['Travel'],['Frustration']
465,Detonation Boulevard,['Science Fiction'],"['Happy', 'Neutral']"
467,The Prenup,"['Suspense', 'Thriller']","['Happy', 'Neutral']"
468,The Counselors,['Horror'],['Neutral']
469,"Ready Player One (Ready Player One, #1)",['Science Fiction'],"['Happy', 'Neutral']"
471,Eye for An Eye,"['Crime', 'Thriller']","['Happy', 'Neutral']"
475,Karen&#39;s Haircut: A Graphic Novel (Baby-Sitters Little Sister #7) (Baby-Sitters Little Sister Graphix),"['Young Adult', 'Graphic Novels', 'Childrens', 'Comics']","['Sad', 'Neutral']"
477,Whisper,"['Suspense', 'Thriller', 'Horror']","['Happy', 'Neutral']"
478,The Maidens,"['Suspense', 'Contemporary', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
479,"The Jasad Heir (The Scorched Throne, #1)","['Fantasy', 'Science Fiction', 'Romance', 'Fiction']","['Frustration', 'Happy', 'Sad', 'Neutral']"
481,Ride or Die,"['LGBT', 'Mystery', 'Contemporary', 'Romance', 'Young Adult']","['Frustration', 'Sad', 'Neutral']"
482,The Poetry of Robert Frost,['Poetry'],['Frustration']
483,The 7½ Deaths of Evelyn Hardcastle,"['Crime', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
486,Marigold and Rose,['Poetry'],['Frustration']
488,Ciao For Now,['Travel'],['Frustration']
494,"The Forever War (The Forever War, #1)",['Science Fiction'],"['Happy', 'Neutral']"
495,"City of Bones (The Mortal Instruments, #1)","['Fantasy', 'Paranormal', 'Young Adult']",['Frustration']
499,Star Child: A Biographical Constellation of Octavia Estelle Butler,['Poetry'],['Frustration']
502,"The Book Woman&#39;s Daughter (The Book Woman of Troublesome Creek, #2)",['Historical Fiction'],['Frustration']
505,Kon-Tiki,['Travel'],['Frustration']
506,High Fidelity,['Music'],['Frustration']
510,"The Funtime Show (Ellie Jordan, Ghost Trapper #19)",['Horror'],['Neutral']
511,The Hunt,"['LGBT', 'Mystery', 'Contemporary', 'Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
512,The Skull,"['Fantasy', 'Horror', 'Art', 'Graphic Novels']","['Frustration', 'Neutral']"
513,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)","['Fiction', 'Nonfiction', 'Historical Fiction']",['Frustration']
517,The New Wife,"['Thriller', 'Mystery']","['Happy', 'Neutral']"
521,On the Rooftop,['Music'],['Frustration']
525,The Last Cuentista,"['Science Fiction', 'Young Adult']","['Happy', 'Neutral']"
526,Blue Hawaiian (Blackwood Cellars #1),['Travel'],['Frustration']
529,"The Night Eaters, Vol. 1: She Eats the Night","['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
531,House Woman,['Horror'],['Neutral']
534,"The Honeymooner (Paradise Bay, #1)",['Travel'],['Frustration']
538,"Monstress, Vol. 1: Awakening","['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
540,The Paris Library,['Historical Fiction'],['Frustration']
547,Killingly,"['Mystery', 'Horror', 'LGBT', 'Historical Fiction']","['Frustration', 'Neutral']"
548,"It Ends with Us (It Ends with Us, #1)","['Contemporary', 'Romance']","['Frustration', 'Sad', 'Neutral']"
550,The Cruise,"['Contemporary', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
552,Getting Stoned with Savages: A Trip Through the Islands of Fiji and Vanuatu,['Travel'],['Frustration']
553,Halfway to You,"['Travel', 'Chick Lit']",['Frustration']
554,"Edge of Valor (Edge of Collapse, #7)",['Science Fiction'],"['Happy', 'Neutral']"
556,チェンソーマン 13 [Chainsaw Man 13],['Comics'],"['Sad', 'Neutral']"
560,Abeni&#39;s Song,"['Science Fiction', 'Childrens', 'Young Adult']","['Happy', 'Neutral']"
563,On a Quiet Street,"['Fiction', 'Suspense', 'Thriller']","['Happy', 'Neutral']"
568,Cloud Cuckoo Land,['Historical Fiction'],['Frustration']
571,Someone Else&#39;s Shoes,"['Contemporary', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
574,"School Days (SC Marva Collins, #1)",['Science Fiction'],"['Happy', 'Neutral']"
578,Camp Damascus,"['LGBT', 'Horror', 'Contemporary', 'Fiction', 'Thriller']","['Happy', 'Neutral']"
579,Milk &amp; Mocha: Our Little Happiness,"['Humor', 'Graphic Novels', 'Comics']","['Sad', 'Neutral']"
581,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)","['Fantasy', 'Christian', 'Childrens']",['Frustration']
586,Toffee,['Poetry'],['Frustration']
588,Elsewhere,['Science Fiction'],"['Happy', 'Neutral']"
590,Never Give Your Heart to a Hookup (Never Say Never #2),"['Contemporary', 'Romance']","['Frustration', 'Sad', 'Neutral']"
591,"In Service of Death (DCI Logan Crime Thrillers, #17)","['Crime', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
592,"The Nice House on the Lake, Vol. 1",['Comics'],"['Sad', 'Neutral']"
597,"Batman, Vol. 2: The Joker War","['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
598,Fire Rush,['Music'],['Frustration']
599,"Dare You to Kiss the Quarterback (Rock Valley High, #1)",['Music'],['Frustration']
603,A Certain Hunger,['Horror'],['Neutral']
612,Dead Fall (Scot Harvath #22),"['Fiction', 'Suspense', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
613,Penance,['Horror'],['Neutral']
618,My Best Friend's Exorcism,['Horror'],['Neutral']
619,West with Giraffes,"['History', 'Travel']",['Frustration']
620,Before Us,['Travel'],['Frustration']
623,"The Unhoneymooners (Unhoneymooners, #1)","['Contemporary', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
626,"Spy×Family, Vol. 1 (Spy×Family, #1)","['Manga', 'Comics']","['Sad', 'Neutral']"
630,"A Love Song for Liars (Rivals, #1)",['Music'],['Frustration']
631,She Says She&#39;s My Daughter,['Thriller'],"['Happy', 'Neutral']"
632,"Something is Killing the Children, Vol. 2",['Comics'],"['Sad', 'Neutral']"
637,A Light in the Attic,"['Poetry', 'Childrens']",['Frustration']
638,From the Jump,['Travel'],['Frustration']
644,The Sandman Vol. 2: The Doll's House,"['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
647,"The Garden (Into Shadow, #1)",['Poetry'],['Frustration']
650,"Leviathan Falls (The Expanse, #9)",['Science Fiction'],"['Happy', 'Neutral']"
652,"Fifty Shades Freed (Fifty Shades, #3)",['Romance'],"['Frustration', 'Sad', 'Neutral']"
654,"Spy×Family 4 (SpyxFamily, #4)","['Manga', 'Comics']","['Sad', 'Neutral']"
658,"Finale (Caraval, #3)",['Romance'],"['Frustration', 'Sad', 'Neutral']"
659,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","['Fantasy', 'Romance']","['Frustration', 'Sad', 'Neutral']"
660,"Jurassic Park (Jurassic Park, #1)","['Classics', 'Thriller', 'Science Fiction']","['Happy', 'Neutral']"
664,Everything After,['Music'],['Frustration']
665,The Perfect Girlfriend,['Thriller'],"['Happy', 'Neutral']"
667,Home Body,['Poetry'],['Frustration']
668,One of the Boys,"['Suspense', 'Thriller', 'Science Fiction']","['Happy', 'Neutral']"
669,The Violin Conspiracy,['Music'],['Frustration']
674,"The Maid (Molly the Maid, #1)","['Fiction', 'Crime', 'Thriller', 'Mystery']","['Happy', 'Neutral']"
680,"Me Before You (Me Before You, #1)","['Contemporary', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
684,"The Family Upstairs (The Family Upstairs, #1)","['Mystery', 'Suspense', 'Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
685,Don't Call Us Dead,['Poetry'],['Frustration']
686,"Lilac Girls (Lilac Girls, #1)",['Historical Fiction'],['Frustration']
690,The Prophet,"['Spirituality', 'Poetry', 'Classics', 'Philosophy', 'Religion']",['Frustration']
691,"Cytonic (Skyward, #3)","['Science Fiction', 'Young Adult']","['Happy', 'Neutral']"
692,"The Mercy of Snakes (Nameless: Season One, #5)",['Horror'],['Neutral']
693,The Deep Sky,"['Fantasy', 'LGBT', 'Science Fiction', 'Horror', 'Mystery', 'Fiction', 'Thriller']","['Frustration', 'Happy', 'Neutral']"
699,Death&#39;s Obsession,['Fantasy'],['Frustration']
700,"Leviathan Wakes (The Expanse, #1)",['Science Fiction'],"['Happy', 'Neutral']"
702,The Seven Year Slip,"['Fantasy', 'Romance', 'Fiction']","['Frustration', 'Sad', 'Neutral']"
703,Hunger Makes Me a Modern Girl,['Music'],['Frustration']
704,Someone Else&#39;s Bucket List,['Travel'],['Frustration']
706,The Other Emily,['Horror'],['Neutral']
707,The Wife Upstairs,"['Suspense', 'Contemporary', 'Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
710,The Guest List,"['Mystery', 'Suspense', 'Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
713,Summer Love,['Travel'],['Frustration']
714,A Witch&#39;s Sin (Neon Ghosts #1),"['Thriller', 'Science Fiction']","['Happy', 'Neutral']"
716,The Canyon&#39;s Edge,['Poetry'],['Frustration']
718,"Committing to the Cowgirl (Colorado Cowgirls, #1)","['Christian', 'Historical Fiction']",['Frustration']
719,He Who Fights with Monsters 9 (He Who Fights with Monsters #9),['Science Fiction'],"['Happy', 'Neutral']"
720,Spider-Man: The Lost Hunt (Spider-Man: The Lost Hunt (2022-2023)),['Comics'],"['Sad', 'Neutral']"
722,Maureen (Harold Fry #3),['Travel'],['Frustration']
723,"Kingdom of Ash (Throne of Glass, #7)","['Fantasy', 'Romance', 'Young Adult']","['Frustration', 'Sad', 'Neutral']"
724,Musical Tables: Poems,['Poetry'],['Frustration']
725,Touch Her and Die (McRae Bodyguards #1),"['Contemporary', 'Romance']","['Frustration', 'Sad', 'Neutral']"
726,The Raven,['Poetry'],['Frustration']
727,The Girl Who Survived,"['Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
728,"Ciudades de humo (Trilogía Fuego, 1)",['Science Fiction'],"['Happy', 'Neutral']"
729,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","['Fantasy', 'Young Adult', 'Childrens', 'Fiction']",['Frustration']
731,Charm City Rocks,"['Music', 'Humor']",['Frustration']
737,Warrior Girl Unearthed,['Fantasy'],['Frustration']
742,The Library of Broken Worlds,"['Science Fiction', 'Young Adult']","['Happy', 'Neutral']"
748,The Five-Star Weekend,"['Fiction', 'Contemporary', 'Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
751,"The Walking Dead, Vol. 1: Days Gone Bye","['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
759,The Sandman Vol. 7: Brief Lives,['Comics'],"['Sad', 'Neutral']"
761,The Nurse,['Thriller'],"['Happy', 'Neutral']"
762,None of This Is True,"['Mystery', 'Suspense', 'Contemporary', 'Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
769,Family Style: Memories of an American from Vietnam,"['Comics', 'Graphic Novels', 'Biography', 'Nonfiction', 'History', 'Memoir', 'Young Adult']","['Sad', 'Neutral']"
774,"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys",['Music'],['Frustration']
779,Unperfect,"['Suspense', 'Contemporary', 'Romance']","['Frustration', 'Sad', 'Neutral']"
780,Sea of Tranquility,"['Fantasy', 'Science Fiction', 'Fiction']","['Frustration', 'Happy', 'Neutral']"
781,"The Missing Sister (The Seven Sisters, #7)",['Historical Fiction'],['Frustration']
784,Poeta chileno,['Poetry'],['Frustration']
786,The Stand,['Horror'],['Neutral']
787,The Love Hypothesis,"['Contemporary', 'Romance']","['Frustration', 'Sad', 'Neutral']"
788,The Truth Project,['Poetry'],['Frustration']
789,My Love Story,['Music'],['Frustration']
790,"呪術廻戦 1 (Jujutsu Kaisen, #1)","['Manga', 'Horror', 'Comics']","['Sad', 'Neutral']"
791,"Crave (Crave, #1)","['Paranormal', 'Romance']","['Frustration', 'Sad', 'Neutral']"
796,"Diper Överlöde (Diary of a Wimpy Kid, #17)","['Music', 'Humor']",['Frustration']
797,"The Duke and I (Bridgertons, #1)",['Romance'],"['Frustration', 'Sad', 'Neutral']"
802,"America&#39;s Geekheart (Bro Code, #2)",['Music'],['Frustration']
803,The Overnight Guest,['Horror'],['Neutral']
804,"The Umbrella Academy, Vol. 1:  Apocalypse Suite",['Comics'],"['Sad', 'Neutral']"
805,The Night Circus,['Fantasy'],['Frustration']
807,"The Piece that Breaks (Offstage, #2)",['Music'],['Frustration']
810,"Half Empty (First Wives, #2)",['Music'],['Frustration']
814,Wild: From Lost to Found on the Pacific Crest Trail,"['Memoir', 'Nonfiction', 'Travel', 'Biography']",['Frustration']
815,"Reveal Me (Shatter Me, #5.5)",['Romance'],"['Frustration', 'Sad', 'Neutral']"
816,"The Dungeon Anarchist&#39;s Cookbook (Dungeon Crawler Carl, #3)",['Science Fiction'],"['Happy', 'Neutral']"
821,"The Butcher&#39;s Masquerade (Dungeon Crawler Carl, #5)","['Science Fiction', 'Humor']","['Happy', 'Neutral']"
822,DCeased,['Comics'],"['Sad', 'Neutral']"
829,"The Family Remains (The Family Upstairs, #2)","['Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
