user_id,mental_state,books_preferences,music_preferences,film_preferences
27,relaxed,"['LGBT', 'Historical Fiction', 'Business']","['rock', 'soul', 'electro']","['Western', 'Horror', 'Romance']"
28,happy,"['Crime', 'Memoir', 'Travel']","['pop', 'electronic', 'alternative']","['Children', 'Fantasy', 'Western']"
28,sad,"['Philosophy', 'Nonfiction', 'Romance']","['alternative', 'indie', 'metal']","['Animation', 'Adventure', 'Horror']"
28,stressed,"['Travel', 'Comics', 'Psychology']","['alternative', 'new-age', 'folk']","['Comedy', 'Romance', 'Children']"
28,relaxed,"['Religion', 'Chick Lit', 'Spirituality']","['metal', 'pop', 'blues']","['Romance', 'Comedy', 'Horror']"
29,happy,"['Comics', 'History', 'LGBT']","['electronic', 'electro', 'soul']","['Romance', 'Fantasy', 'Adventure']"
29,sad,"['Graphic Novels', 'Chick Lit', 'Religion']","['dance', 'folk', 'pop']","['Adventure', 'Horror', 'Comedy']"
29,stressed,"['Paranormal', 'Science', 'Spirituality']","['blues', 'electronic', 'pop']","['Animation', 'Romance', 'Sci-Fi']"
29,relaxed,"['Crime', ""Children's"", 'Science']","['new-age', 'metal', 'world-music']","['Comedy', 'Animation', 'Sci-Fi']"
30,happy,"['Humor', 'Religion', 'Biography']","['new-age', 'electro', 'electronic']","['Sci-Fi', 'Horror', 'Western']"
30,sad,"['Chick Lit', 'Crime', 'Business']","['alternative', 'pop', 'soul']","['Romance', 'Horror', 'Animation']"
30,stressed,"['Humor', 'Business', 'Horror']","['new-age', 'metal', 'electro']","['Romance', 'Sci-Fi', 'Adventure']"
30,relaxed,"['Crime', 'Music', 'Horror']","['pop', 'folk', 'world-music']","['Western', 'Comedy', 'Animation']"
31,happy,"['Biography', 'Sports', 'Chick Lit']","['indie', 'electro', 'metal']","['Children', 'Comedy', 'Adventure']"
31,sad,"['History', 'Biography', 'Chick Lit']","['world-music', 'electro', 'indie']","['Fantasy', 'Horror', 'Comedy']"
31,stressed,"['Philosophy', 'Classics', 'Historical Fiction']","['new-age', 'pop', 'metal']","['Adventure', 'Fantasy', 'Children']"
31,relaxed,"['Art', 'History', 'Fiction']","['electronic', 'metal', 'pop']","['Horror', 'Sci-Fi', 'Children']"
32,happy,"['Nonfiction', 'Self Help', 'Comics']","['pop', 'soul', 'electronic']","['Romance', 'Comedy', 'Fantasy']"
32,sad,"['Chick Lit', 'Thriller', 'Classics']","['folk', 'soul', 'rock']","['Horror', 'Sci-Fi', 'Adventure']"
32,stressed,"['Paranormal', 'Science', 'History']","['electronic', 'new-age', 'rock']","['Western', 'Adventure', 'Children']"
32,relaxed,"['Horror', 'Comics', 'Chick Lit']","['folk', 'alternative', 'electro']","['Adventure', 'Sci-Fi', 'Animation']"
33,happy,"['Paranormal', 'Religion', 'Horror']","['rock', 'world-music', 'blues']","['Western', 'Children', 'Sci-Fi']"
33,sad,"['Historical Fiction', 'Business', ""Children's""]","['soul', 'pop', 'indie']","['Western', 'Animation', 'Children']"
33,stressed,"['LGBT', 'Thriller', 'Fiction']","['metal', 'indie', 'alternative']","['Sci-Fi', 'Fantasy', 'Horror']"
33,relaxed,"['Music', 'Art', 'Religion']","['world-music', 'dance', 'metal']","['Sci-Fi', 'Fantasy', 'Romance']"
34,happy,"['Mystery', 'Paranormal', 'LGBT']","['alternative', 'electro', 'soul']","['Western', 'Horror', 'Adventure']"
34,sad,"['Nonfiction', 'Psychology', 'Sports']","['folk', 'electronic', 'new-age']","['Children', 'Fantasy', 'Adventure']"
34,stressed,"['Paranormal', 'Poetry', 'Religion']","['electro', 'soul', 'folk']","['Adventure', 'Western', 'Fantasy']"
34,relaxed,"['Classics', 'LGBT', 'Graphic Novels']","['metal', 'blues', 'pop']","['Romance', 'Comedy', 'Sci-Fi']"
35,happy,"['Travel', 'Thriller', 'Young Adult']","['indie', 'folk', 'blues']","['Fantasy', 'Horror', 'Sci-Fi']"
35,sad,"['Mystery', 'Paranormal', 'Humor']","['electro', 'rock', 'electronic']","['Romance', 'Western', 'Horror']"
35,stressed,"['Historical Fiction', 'Business', 'Sports']","['electro', 'soul', 'dance']","['Horror', 'Adventure', 'Sci-Fi']"
35,relaxed,"['Horror', 'Historical Fiction', 'Humor']","['indie', 'soul', 'blues']","['Horror', 'Fantasy', 'Animation']"
36,happy,"['Art', 'Classics', 'LGBT']","['blues', 'electronic', 'pop']","['Western', 'Horror', 'Children']"
36,sad,"['Science Fiction', 'Graphic Novels', 'Nonfiction']","['electro', 'folk', 'new-age']","['Fantasy', 'Children', 'Comedy']"
36,stressed,"['Business', 'Religion', 'Art']","['indie', 'alternative', 'folk']","['Sci-Fi', 'Adventure', 'Fantasy']"
36,relaxed,"['Comics', 'Psychology', 'Science Fiction']","['folk', 'blues', 'world-music']","['Sci-Fi', 'Horror', 'Children']"
37,happy,"['Mystery', 'Historical Fiction', 'Religion']","['rock', 'metal', 'electro']","['Comedy', 'Western', 'Children']"
37,sad,"[""Children's"", 'Biography', 'Comics']","['electronic', 'electro', 'folk']","['Children', 'Western', 'Animation']"
37,stressed,"['Classics', 'Religion', 'Business']","['rock', 'world-music', 'alternative']","['Fantasy', 'Comedy', 'Children']"
37,relaxed,"[""Children's"", 'Biography', 'Chick Lit']","['blues', 'soul', 'indie']","['Sci-Fi', 'Adventure', 'Romance']"
38,happy,"[""Children's"", 'Philosophy', 'Religion']","['pop', 'soul', 'electronic']","['Horror', 'Western', 'Sci-Fi']"
38,sad,"['Young Adult', 'Science Fiction', 'Fiction']","['indie', 'soul', 'metal']","['Adventure', 'Comedy', 'Romance']"
38,stressed,"['Nonfiction', 'Paranormal', 'Mystery']","['electro', 'electronic', 'rock']","['Sci-Fi', 'Children', 'Horror']"
38,relaxed,"['Science', 'Art', 'Science Fiction']","['dance', 'alternative', 'folk']","['Sci-Fi', 'Adventure', 'Romance']"
39,happy,"['Graphic Novels', 'Religion', 'Religion']","['electro', 'indie', 'metal']","['Western', 'Comedy', 'Adventure']"
39,sad,"['Classics', 'Travel', 'LGBT']","['rock', 'pop', 'indie']","['Sci-Fi', 'Animation', 'Western']"
39,stressed,"['Religion', 'Nonfiction', 'Young Adult']","['folk', 'alternative', 'rock']","['Horror', 'Western', 'Children']"
39,relaxed,"['Historical Fiction', 'Business', 'History']","['rock', 'alternative', 'folk']","['Horror', 'Fantasy', 'Romance']"
40,happy,"['Humor', 'History', 'Thriller']","['new-age', 'dance', 'electronic']","['Children', 'Western', 'Adventure']"
40,sad,"['Horror', 'History', 'Historical Fiction']","['world-music', 'electro', 'folk']","['Children', 'Animation', 'Romance']"
40,stressed,"['Crime', 'Humor', 'Religion']","['alternative', 'blues', 'metal']","['Sci-Fi', 'Fantasy', 'Comedy']"
40,relaxed,"['Historical Fiction', 'Crime', 'Chick Lit']","['soul', 'world-music', 'dance']","['Animation', 'Comedy', 'Western']"
41,happy,"['Religion', 'Thriller', 'Chick Lit']","['soul', 'world-music', 'folk']","['Fantasy', 'Animation', 'Western']"
41,sad,"['Nonfiction', 'Paranormal', 'Young Adult']","['electronic', 'indie', 'blues']","['Romance', 'Comedy', 'Adventure']"
41,stressed,"['Religion', 'Horror', 'Memoir']","['world-music', 'pop', 'folk']","['Horror', 'Romance', 'Sci-Fi']"
41,relaxed,"['Crime', 'Psychology', 'Poetry']","['alternative', 'rock', 'electro']","['Comedy', 'Children', 'Horror']"
42,happy,"['Travel', 'Business', 'Science']","['new-age', 'soul', 'alternative']","['Comedy', 'Sci-Fi', 'Children']"
42,sad,"['Nonfiction', 'Thriller', 'Biography']","['pop', 'electronic', 'dance']","['Comedy', 'Sci-Fi', 'Romance']"
42,stressed,"['Sports', 'History', 'Business']","['indie', 'world-music', 'metal']","['Comedy', 'Children', 'Western']"
42,relaxed,"['Poetry', 'Romance', 'Science Fiction']","['folk', 'blues', 'alternative']","['Romance', 'Fantasy', 'Adventure']"
43,happy,"['Philosophy', 'History', 'Historical Fiction']","['new-age', 'electronic', 'soul']","['Animation', 'Romance', 'Sci-Fi']"
43,sad,"['Chick Lit', 'Psychology', 'Philosophy']","['dance', 'electronic', 'metal']","['Comedy', 'Sci-Fi', 'Adventure']"
43,stressed,"['Travel', 'Romance', 'Science Fiction']","['blues', 'dance', 'metal']","['Fantasy', 'Horror', 'Sci-Fi']"
43,relaxed,"['Mystery', 'Psychology', 'Music']","['alternative', 'new-age', 'indie']","['Romance', 'Fantasy', 'Horror']"
44,happy,"['History', 'Historical Fiction', 'Sports']","['world-music', 'electronic', 'blues']","['Adventure', 'Children', 'Western']"
44,sad,"['Paranormal', 'Biography', 'Psychology']","['dance', 'indie', 'blues']","['Romance', 'Fantasy', 'Western']"
44,stressed,"['Religion', 'Graphic Novels', 'Art']","['new-age', 'folk', 'blues']","['Western', 'Adventure', 'Fantasy']"
44,relaxed,"['Romance', 'Paranormal', 'Science']","['electronic', 'dance', 'folk']","['Animation', 'Adventure', 'Horror']"
45,happy,"['Philosophy', 'LGBT', 'Fiction']","['folk', 'rock', 'indie']","['Comedy', 'Sci-Fi', 'Western']"
45,sad,"['Nonfiction', 'Fiction', 'Music']","['indie', 'metal', 'soul']","['Western', 'Animation', 'Children']"
45,stressed,"['Historical Fiction', 'Religion', 'Graphic Novels']","['metal', 'new-age', 'blues']","['Children', 'Sci-Fi', 'Adventure']"
45,relaxed,"['Religion', 'Spirituality', 'Fiction']","['blues', 'dance', 'electronic']","['Children', 'Western', 'Horror']"
46,happy,"['Philosophy', 'Memoir', 'Business']","['electro', 'soul', 'electronic']","['Children', 'Adventure', 'Animation']"
46,sad,"['Chick Lit', 'Self Help', 'Crime']","['folk', 'soul', 'electronic']","['Children', 'Western', 'Adventure']"
46,stressed,"['Nonfiction', 'Comics', 'Mystery']","['indie', 'pop', 'soul']","['Animation', 'Horror', 'Western']"
46,relaxed,"['Science', 'Crime', 'Sports']","['pop', 'metal', 'world-music']","['Fantasy', 'Horror', 'Adventure']"
47,happy,"['Romance', ""Children's"", 'Biography']","['dance', 'soul', 'pop']","['Children', 'Romance', 'Adventure']"
47,sad,"['Psychology', 'Spirituality', ""Children's""]","['rock', 'blues', 'dance']","['Children', 'Romance', 'Sci-Fi']"
47,stressed,"['Young Adult', 'Self Help', 'Sports']","['rock', 'soul', 'new-age']","['Adventure', 'Romance', 'Children']"
47,relaxed,"['Crime', 'History', 'Nonfiction']","['pop', 'new-age', 'dance']","['Comedy', 'Sci-Fi', 'Animation']"
48,happy,"['Young Adult', 'Horror', 'Sports']","['indie', 'alternative', 'pop']","['Horror', 'Animation', 'Fantasy']"
48,sad,"['Biography', 'Horror', 'Paranormal']","['dance', 'new-age', 'rock']","['Animation', 'Western', 'Adventure']"
48,stressed,"['Business', 'Thriller', 'Comics']","['indie', 'new-age', 'soul']","['Fantasy', 'Horror', 'Animation']"
48,relaxed,"['Psychology', 'Memoir', 'Historical Fiction']","['folk', 'new-age', 'alternative']","['Children', 'Western', 'Adventure']"
49,happy,"['Humor', 'Business', 'Poetry']","['pop', 'soul', 'electronic']","['Romance', 'Sci-Fi', 'Comedy']"
49,sad,"['Business', 'Self Help', 'Humor']","['indie', 'rock', 'electro']","['Animation', 'Sci-Fi', 'Fantasy']"
49,stressed,"['Memoir', 'Philosophy', 'Mystery']","['folk', 'soul', 'rock']","['Children', 'Fantasy', 'Sci-Fi']"
49,relaxed,"['Romance', 'LGBT', 'Travel']","['electro', 'indie', 'rock']","['Adventure', 'Children', 'Comedy']"
50,happy,"['Horror', 'Fiction', 'Travel']","['electronic', 'dance', 'electro']","['Comedy', 'Horror', 'Romance']"
50,sad,"['Paranormal', ""Children's"", 'Science']","['soul', 'pop', 'metal']","['Sci-Fi', 'Children', 'Animation']"
50,stressed,"['Memoir', 'Music', 'Biography']","['soul', 'alternative', 'rock']","['Children', 'Western', 'Horror']"
50,relaxed,"['Memoir', 'Business', 'Paranormal']","['indie', 'folk', 'alternative']","['Romance', 'Animation', 'Comedy']"
51,happy,"['Memoir', 'Psychology', 'Graphic Novels']","['blues', 'soul', 'new-age']","['Horror', 'Adventure', 'Fantasy']"
51,sad,"['Romance', 'Comics', ""Children's""]","['metal', 'dance', 'electronic']","['Fantasy', 'Romance', 'Children']"
51,stressed,"['Crime', 'Science Fiction', 'Religion']","['soul', 'electronic', 'rock']","['Children', 'Romance', 'Adventure']"
51,relaxed,"['Classics', 'Memoir', 'Crime']","['new-age', 'soul', 'blues']","['Adventure', 'Fantasy', 'Comedy']"
52,happy,"['Historical Fiction', 'Nonfiction', 'Graphic Novels']","['blues', 'pop', 'electro']","['Western', 'Comedy', 'Children']"
52,sad,"[""Children's"", 'Sports', 'Classics']","['blues', 'pop', 'new-age']","['Comedy', 'Western', 'Adventure']"
52,stressed,"['Travel', 'Paranormal', 'Psychology']","['electro', 'world-music', 'pop']","['Children', 'Romance', 'Horror']"
52,relaxed,"['Historical Fiction', 'Thriller', 'Business']","['electro', 'alternative', 'world-music']","['Animation', 'Horror', 'Sci-Fi']"
53,happy,"[""Children's"", 'Poetry', 'Self Help']","['indie', 'alternative', 'electronic']","['Romance', 'Horror', 'Adventure']"
53,sad,"['Chick Lit', 'Religion', 'Psychology']","['world-music', 'blues', 'electronic']","['Adventure', 'Children', 'Sci-Fi']"
53,stressed,"['Paranormal', 'Chick Lit', 'Graphic Novels']","['folk', 'dance', 'world-music']","['Comedy', 'Horror', 'Western']"
53,relaxed,"['Mystery', 'Business', 'Historical Fiction']","['alternative', 'electronic', 'world-music']","['Horror', 'Fantasy', 'Adventure']"
54,happy,"['Sports', 'Travel', 'Paranormal']","['metal', 'indie', 'pop']","['Adventure', 'Horror', 'Romance']"
